Organizing Committee;;;;;
;;;;;
Notes All information except the given name and family name are optional.;;;;;
Role should be something like “General Chair”, “Program Chair”, “Doctoral Consortium Chair”.;;;;;
The affiliation should be just the organization; no groups or departments; avoid abbreviations.;;;;;
Multiple affiliations should be separated by a backslash character Affiliation1 \ Affiliation2;;;;;
;;;;;
Role;Given name;Family name;Affiliation;Email;Homepage
Program Committee;Grigoris;Antoniou;FORTH-ICS;;
Program Committee;Marcelo;Arenas;PUC Chile;;
Program Committee;Leopoldo;Bertossi;Carleton University;;
Program Committee;Piero;Bonatti;Univ. of Naples Frederico II;;
Program Committee;Carlos;Damasio;Universidade Nova de Lisboa;;
Program Committee;Wlodek;Drabent;IPI PAN Warszawa;;
Program Committee;Bernardo;Cuenca Grau;University of Oxford;;
Program Committee;Volker;Haarslev;Concordia University;;
Program Committee;Giovambattista;Ianni;Univ. of Calabria;;
Program Committee;Manolis;Koubarakis;National and Kapodistrian Univ. of Athens;;
Program Committee;Domenico;Lembo;DIS, Univ. di Roma ``La Sapienza'';;
Program Committee;Thomas;Lukasiewicz;Computing Lab. Univ. of Oxford;;
Program Committee;Francesca;Alessandra Lisi;Universita degli Studi di Bari;;
Program Committee;Wolfgang;May;Univ. Goettingen;;
Program Committee;David;Pearce;Universidad Politde Madrid;;
Program Committee;Enrico;Pontelli;New Mexico State University;;
Program Committee;Guilin;Qi;Univ. of Karlsruhe;;
Program Committee;Marie-Christine;Rousset;Univ. of Grenoble;;
Program Committee;Sebastian;Rudolph;Institute AIFB, University of Karlsruhe;;
Program Committee;Sebastian;Schaffert;Salzburg Research Forschungsgesellschaf;;
Program Committee;Michael;Sintek;DFKI GmbH;;
Program Committee;Giorgos;Stamou;National Tech. University of Athens;;
Program Committee;Heiner;Stuckenschmidt;Univ. of Mannheim;;
Program Committee;York;Sure;AIFB - Universitaet Karlsruhe;;
Program Committee;Peter;Szeredi;Budapest Univ of Tech. and Econ.;;
Program Committee;Sergio;Tessaris;Free University of Bozen - Bolzano;;
Program Committee;Hans;Tompits;Vienna Univ. of Technology;;
Program Committee;Dirk;Vermeir;Vrije Universiteit Brussel;;
Steering Committee;Francois;Bry;University of Munich (Germany);;
Steering Committee;Michael;Kifer;Stony Brook University, New York (U.S.A.);;
Steering Committee;Jeff Z.;Pan;University of Aberdeen (United Kingdom);;
Steering Committee;Holger;Wache;University of Applied Sciences Northwestern Switzerland (Switzerland);;
Steering Committee;Thomas;Eiter;Technische Universitat Wien (Austria);;
Steering Committee;Diego;Calvanese;Free University of Bozen-Bolzano (Italy) ;;
Steering Committee;Pascal;Hitzler;Wright State University, Dayton OH (U.S.A.);;
Steering Committee;Georg;Lausen;University of Freiburg (Germany);;
Steering Committee;Riccardo;Rosati;Universita di Roma La Sapienza (Italy);;
