Role;Given name;Family name;Affiliation;Email;Homepage
General Chair;José Júlio;Alferes;Universidade Nova de Lisboa, Portugal;;
Program Chair;Pascal;Hitzler;Wright State University, USA;;
Local Arrangement;Diego;Calvanese;Free University of Bozen-Bolzano, Italy;;
Local Arrangement;Mariano;Rodríguez-Muro ;Free University of Bozen-Bolzano, Italy;;
Sponsorship Chair;Krzysztof;Janowicz;Pennsylvania State University, USA;;
Program Committe;Grigoris;Antoniou;University of Crete, Greece;;
Program Committe;Marcelo;Arenas;PUC Chile, Chile;;
Program Committe;Jie;Bao;Rensselaer Polytechnic Institute, USA;;
Program Committe;Chitta;Baral;Arizona State University, USA;;
Program Committe;Leopoldo;Bertossi;Carleton University, Canada;;
Program Committe;Andrea;Calì;Oxford University, UK;;
Program Committe;Vinay;Chaudri;Stanford Research Institute, USA;;
Program Committe;Kendall;Clark;Clark & Parsia, USA;;
Program Committe;Claudia;d'Amato;University of Bari, Italy;;
Program Committe;Carlos;Damasio;Universidade Nova de Lisboa, Portugal;;
Program Committe;Wlodek;Drabent;IPI PAN Warszawa, Poland;;
Program Committe;Sergio;Flesca;University of Calabria, Italy;;
Program Committe;Christine;Golbreich;University of Versailles Saint-Quentin, France;;
Program Committe;Claudio;Gutierrez;University of Chile, Chile;;
Program Committe;Stijn;Heymans;TU Vienna, Austria;;
Program Committe;Rinke;Hoekstra;VU Amsterdam, The Netherlands;;
Program Committe;Giovambattista;Ianni;University of Calabria, Italy;;
Program Committe;Krzysztof;Janowicz;Pennsylvania State University, USA;;
Program Committe;Natalya;G.;Zaporozhye National University, Ukraine;;
Program Committe;Domenico;Lembo;Sapienza Università di Roma, Italy;;
Program Committe;Natalya;G.;Zaporozhye National University, Ukraine;;
Program Committe;Francesca;A.;University of Bari, Italy;;
Program Committe;Gergely;Lukácsy;DERI\NUI Galway, Ireland;;
Program Committe;Jan;Maluszynski;University of Linköping, Sweden;;
Program Committe;Wolfgang;May;University of Göttingen, Germany;;
Program Committe;Ralf;Möller;TU Hamburg, Germany;;
Program Committe;Boris;Motik;Oxford University, UK;;
Program Committe;Wolfgang;Nejdl;LS3 and University of Hannover, Germany;;
Program Committe;Matthias;Nickles;University of Bath, UK;;
Program Committe;Andrea;Pugliese;University of Calabria, Italy;;
Program Committe;Guilin;Qi;Southeast University, China;;
Program Committe;Sebastian;Rudolph;University of Karlsruhe, Germany;;
Program Committe;Alan;Ruttenberg;ScientificCommons, Switzerland;;
Program Committe;Michael;Sintek;DFKI GmbH, Kaiserslautern, Germany;;
Program Committe;Umberto;Straccia;ISTI-CNR Pisa, Italy;;
Program Committe;Heiner;Stuckenschmidt;University of Mannheim, Germany;;
Program Committe;Terrance;Swift;SUNY Stony Brook, USA;;
Program Committe;Sergio;Tessaris;Free University of Bozen-Bolzano, Italy;;
Program Committe;Dirk;Vermeir;University of Brussels, Belgium;;
Program Committe;Zhe;Wu;Oracle, USA;;
